pool_key,version,beam,progression_tier,pool_ids,baseline_gen8_pool,generation,source_species,target_species
sword-common-early-ea986c274444,sword,common,early,9,True,8,Chewtle (#833),Chewtle (#833)
sword-common-early-ea986c274444,sword,common,early,9,True,8,Chewtle (#833),Drednaw (#834)
sword-common-early-ea986c274444,sword,common,early,9,True,1-7,Shellder (#90),Shellder (#90)
sword-common-early-ea986c274444,sword,common,early,9,True,1-7,Shellder (#90),Cloyster (#91)
sword-common-early-ea986c274444,sword,common,early,9,True,1-7,Wooper (#194),Wooper (#194)
sword-common-early-ea986c274444,sword,common,early,9,True,1-7,Wooper (#194),Quagsire (#195)
sword-common-early-ea986c274444,sword,common,early,9,True,1-7,Corphish (#341),Corphish (#341)
sword-common-early-ea986c274444,sword,common,early,9,True,1-7,Corphish (#341),Crawdaunt (#342)
sword-common-early-ea986c274444,sword,common,early,9,True,1-7,Tympole (#535),Tympole (#535)
sword-common-early-ea986c274444,sword,common,early,9,True,1-7,Tympole (#535),Palpitoad (#536)
sword-common-early-ea986c274444,sword,common,early,9,True,1-7,Tympole (#535),Seismitoad (#537)
sword-common-early-7bf419e73a71,sword,common,early,10,True,8,Clobbopus (#852),Clobbopus (#852)
sword-common-early-7bf419e73a71,sword,common,early,10,True,8,Clobbopus (#852),Grapploct (#853)
sword-common-early-7bf419e73a71,sword,common,early,10,True,8,Farfetchd (#83),Sirfetchd (#865)
sword-common-early-7bf419e73a71,sword,common,early,10,True,1-7,Farfetchd (#83),Farfetchd (#83)
sword-common-early-7bf419e73a71,sword,common,early,10,True,1-7,Tyrogue (#236),Hitmonlee (#106)
sword-common-early-7bf419e73a71,sword,common,early,10,True,1-7,Tyrogue (#236),Hitmonchan (#107)
sword-common-early-7bf419e73a71,sword,common,early,10,True,1-7,Tyrogue (#236),Tyrogue (#236)
sword-common-early-7bf419e73a71,sword,common,early,10,True,1-7,Tyrogue (#236),Hitmontop (#237)
sword-common-early-7bf419e73a71,sword,common,early,10,True,1-7,Sawk (#539),Sawk (#539)
sword-common-early-7bf419e73a71,sword,common,early,10,True,1-7,Pancham (#674),Pancham (#674)
sword-common-early-7bf419e73a71,sword,common,early,10,True,1-7,Pancham (#674),Pangoro (#675)
sword-common-early-7bf419e73a71,sword,common,early,10,True,1-7,Stufful (#759),Stufful (#759)
sword-common-early-7bf419e73a71,sword,common,early,10,True,1-7,Stufful (#759),Bewear (#760)
sword-common-early-d27a2e291dd8,sword,common,early,23,True,8,Snom (#872),Snom (#872)
sword-common-early-d27a2e291dd8,sword,common,early,23,True,8,Snom (#872),Frosmoth (#873)
sword-common-early-d27a2e291dd8,sword,common,early,23,True,8,Sneasel (#215),Sneasler (#903)
sword-common-early-d27a2e291dd8,sword,common,early,23,True,1-7,Sneasel (#215),Sneasel (#215)
sword-common-early-d27a2e291dd8,sword,common,early,23,True,1-7,Snorunt (#361),Snorunt (#361)
